mul_id,name,variant,class_name,technology,role,tonnage,bf_size,bf_move,bf_tmm,bf_armor,bf_structure,bf_threshold,bf_damage_short,bf_damage_short_min,bf_damage_medium,bf_damage_medium_min,bf_damage_long,bf_damage_long_min,bf_damage_extreme,bf_overheat,bf_point_value,bf_abilities,date_introduced,era_id,rules_level,battle_value,ab_ecm,ab_aecm,ab_stl,ab_lrm,ab_srm,ab_if,ab_narc,ab_case,ab_c3i,ab_c3s,ab_c3m,ab_tag,ab_rcn,ab_prb
5553,Celerity CLR-02-X-D,CLR-02-X-D,Celerity,Inner Sphere,Scout,15.0,1,40in,0,1,1,0,0,False,0,False,0,False,0,0,15,"C3I,DRO,ENE,MHQ2",3052,13,Experimental,157,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6671,Celerity CLR-03-O,CLR-03-O,Celerity,Inner Sphere,Scout,15.0,1,40in,0,1,1,0,0,False,0,False,0,False,0,0,15,"C3S,DRO,ENE,MHQ1,OMNI,TAG",3138,16,Advanced,187,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6706,Celerity CLR-03-OC,CLR-03-OC,Celerity,Inner Sphere,Scout,15.0,1,40in,0,1,1,0,0,False,0,False,0,False,0,0,16,"DRO,ENE,OMNI,PRB,RCN,RSD1",3138,16,Advanced,202,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6710,Celerity CLR-05-X,CLR-05-X,Celerity,Inner Sphere,Scout,15.0,1,48in,0,1,1,0,0,False,0,False,0,False,0,0,14,"DRO,ENE,IRA,MEL",Unknown,16,Advanced,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5769,Flea FLE-14,FLE-14,Flea,Inner Sphere,Scout,15.0,1,18in/8inj,0,1,1,0,1,False,1,False,0,False,0,0,14,"ENE,JMPW2",2519,9,Experimental,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6704,Celerity CLR-03-OA,CLR-03-OA,Celerity,Mixed,Scout,15.0,1,40in,0,1,1,0,0,True,0,True,0,False,0,0,16,"DRO,ENE,OMNI",3138,16,Advanced,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8366,"Celerity CLR-03-OMM ""Rajah""","CLR-03-OMM ""Rajah""",Celerity,Mixed,Scout,15.0,1,16in,0,1,1,0,1,False,1,False,0,False,0,0,14,"DRO,ENE,MEL",3142,16,Advanced,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6707,Celerity CLR-03-OD,CLR-03-OD,Celerity,Inner Sphere,Scout,15.0,1,40in,0,1,1,0,0,True,0,True,0,False,0,0,16,"DRO,ENE,OMNI",3138,16,Advanced,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069,Prey Seeker PY-SR30,PY-SR30,Prey Seeker,Inner Sphere,Scout,15.0,1,24in,0,2,1,0,1,False,0,True,0,False,0,0,17,,3141,16,Advanced,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6705,Celerity CLR-03-OB,CLR-03-OB,Celerity,Inner Sphere,Scout,15.0,1,40in,0,1,1,0,0,False,0,False,0,False,0,0,16,"AECM,DRO,ENE,OMNI",3138,16,Advanced,339,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6709,Celerity CLR-04-R,CLR-04-R,Celerity,Inner Sphere,Scout,15.0,1,30in,0,1,1,0,0,False,0,False,0,False,0,0,11,"DRO,TSEMP-O1",Unknown,16,Advanced,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6331,Prey Seeker PY-SR10,PY-SR10,Prey Seeker,Inner Sphere,Striker,15.0,1,24in,0,2,1,0,2,False,2,False,0,False,0,0,26,"ENE,REL",3136,16,Advanced,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7292,Roadrunner (Emerald Harrier) RD-1R,RD-1R,Roadrunner (Emerald Harrier),Clan,Scout,15.0,1,28in,0,1,1,0,2,False,2,False,0,False,0,0,22,ENE,2920,255,Experimental,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6708,Celerity CLR-03-OE,CLR-03-OE,Celerity,Mixed,Scout,15.0,1,40in,0,1,1,0,2,False,2,False,0,False,0,0,27,"DRO,OMNI",3138,16,Advanced,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8068,Prey Seeker PY-SR20,PY-SR20,Prey Seeker,Inner Sphere,Striker,15.0,1,24in,0,2,1,0,2,False,2,False,0,False,0,1,27,ENE,3140,16,Advanced,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5136,Stinger IIC 2,2,Stinger IIC,Clan,Scout,20.0,1,10inj,0,2,2,0,3,False,3,False,0,False,0,1,22,CASE,3086,15,Standard,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
